TrisCalDate,(Intercept),TTris,order,Unique_ID,TA_Run,Sample_ID,Date,T0_Tf,Treatment,Meso_Treatment,OAE_Treatment,blank_coral,Frag_ID,Colony,Chamber,PAR,Time_Measure,mV,TempInSample,Salinity,Time_In,Time_Out,Volume_mL,Notes,mVTris,pH
20240602,-139.47370879130656,1.7040353948226818,11,3,1,Cntrl_Alg_blank_b_6_2_24,6/2/24,Tf,Cntrl_Alg,Alg,Cntrl,blank,blank_b,blank,8,467,02:28:00,-98.6,27.237,36.4,12:00:00,14:25:00,189,NA,-93.06089674252118,8.119864020289217
20240602,-139.47370879130656,1.7040353948226818,12,13,3,Cntrl_Alg_2_f_6_2_24,6/2/24,Tf,Cntrl_Alg,Alg,Cntrl,coral,2_f,2,14,439,02:30:00,-105.7,27.051,36.4,12:08:00,14:29:00,166,NA,-93.3778473259582,8.239554536017446
20240602,-139.47370879130656,1.7040353948226818,13,8,1,Cntrl_Cor_2_a_6_2_24,6/2/24,Tf,Cntrl_Cor,Cor,Cntrl,coral,2_a,2,3,526,02:32:00,-102.3,26.639,36.4,12:08:00,14:31:00,168,NA,-94.07990990862514,8.183653548349502
20240602,-139.47370879130656,1.7040353948226818,14,6,1,Cntrl_Cor_1_c_6_2_24,6/2/24,Tf,Cntrl_Cor,Cor,Cntrl,coral,1_c,1,9,508,02:34:00,-94.2,27.021,36.4,12:04:00,14:33:00,169,NA,-93.42896838780288,8.046565034008795
20240602,-139.47370879130656,1.7040353948226818,15,5,1,Cntrl_Cor_blank_e_6_2_24,6/2/24,Tf,Cntrl_Cor,Cor,Cntrl,blank,blank_e,blank,15,477,02:35:00,-94.2,27.035,36.4,12:00:00,14:25:00,173,NA,-93.40511189227536,8.04653123473717
20240602,-139.47370879130656,1.7040353948226818,16,42,7,CaO_SW_2_b_6_2_24,6/2/24,Tf,CaO_SW,SW,CaO,coral,2_b,2,4,528,02:36:00,-116.6,26.697,36.4,12:08:00,14:35:00,163,NA,-93.98107585572544,8.423839859533057
20240602,-139.47370879130656,1.7040353948226818,17,38,7,CaO_SW_1_d_6_2_24,6/2/24,Tf,CaO_SW,SW,CaO,coral,1_d,1,10,515,02:38:00,-115.6,26.954,36.4,12:04:00,14:37:00,169,NA,-93.543138759256,8.406105875896907
20240602,-139.47370879130656,1.7040353948226818,18,59,9,CaO_SW_blank_f_6_2_24,6/2/24,Tf,CaO_SW,SW,CaO,blank,blank_f,blank,16,479,02:39:00,-116.2,27.125,36.4,12:00:00,14:25:00,145,NA,-93.25174870674132,8.415558609634651
20240602,-139.47370879130656,1.7040353948226818,19,49,8,CaO_Alg_blank_c_6_2_24,6/2/24,Tf,CaO_Alg,Alg,CaO,blank,blank_c,blank,5,484,02:41:00,-122.7,26.801,36.4,12:00:00,14:25:00,180,CaO_test_2,-93.80385617466388,8.525951649565114
20240602,-139.47370879130656,1.7040353948226818,20,57,9,CaO_Alg_2_c_6_2_24,6/2/24,Tf,CaO_Alg,Alg,CaO,coral,2_c,2,11,482,02:43:00,-126.2,26.888,36.4,12:08:00,14:42:00,155,3 mL spill - added to volume,-93.65560509531429,8.584393373777846
20240602,-139.47370879130656,1.7040353948226818,21,58,9,CaO_Alg_1_e_6_2_24,6/2/24,Tf,CaO_Alg,Alg,CaO,coral,1_e,1,17,438,02:44:00,-124.4,27.151,36.4,12:04:00,14:43:00,167,NA,-93.20744378647592,8.553079458180745
20240602,-139.47370879130656,1.7040353948226818,22,53,9,CaO_Cor_blank_d_6_2_24,6/2/24,Tf,CaO_Cor,Cor,CaO,blank,blank_d,blank,6,428,02:46:00,-113.6,26.861,36.4,12:00:00,14:25:00,175,NA,-93.70161405097451,8.372844050136395
20240602,-139.47370879130656,1.7040353948226818,23,37,7,CaO_Cor_2_d_6_2_24,6/2/24,Tf,CaO_Cor,Cor,CaO,coral,2_d,2,12,425,02:49:00,-115.5,27.006,36.4,12:08:00,14:48:00,174,3mL spill - added to volume,-93.45452891872522,8.404239135964493
20240602,-139.47370879130656,1.7040353948226818,24,45,8,CaO_Cor_1_f_6_2_24,6/2/24,Tf,CaO_Cor,Cor,CaO,coral,1_f,1,18,382,02:50:00,-115.3,27.003,36.4,12:04:00,14:50:00,162,NA,-93.45964102490969,8.400891814178896
20240602,-139.47370879130656,1.7040353948226818,25,54,9,CaO_Cor_T0_6_3_24,6/3/24,T0,CaO_Cor,Cor,CaO,NA,NA,NA,NA,NA,12:22:00,-119.6,24.811,36.4,NA,NA,NA,NA,-97.19488661036101,8.481414794949949
20240602,-139.47370879130656,1.7040353948226818,26,9,2,Cntrl_Cor_T0_6_3_24,6/3/24,T0,Cntrl_Cor,Cor,Cntrl,NA,NA,NA,NA,NA,12:17:00,-95.8,24.62,36.4,NA,NA,NA,NA,-97.52035737077213,8.079316456637775
20240602,-139.47370879130656,1.7040353948226818,27,46,8,CaO_SW_T0_6_3_24,6/3/24,T0,CaO_SW,SW,CaO,NA,NA,NA,NA,NA,12:23:00,-117.7,24.854,36.4,NA,NA,NA,NA,-97.12161308838364,8.44912066905769
20240602,-139.47370879130656,1.7040353948226818,28,14,3,Cntrl_SW_T0_6_3_24,6/3/24,T0,Cntrl_SW,SW,Cntrl,NA,NA,NA,NA,NA,12:16:00,-95.3,25.036,36.4,NA,NA,NA,NA,-96.8114786465259,8.069862655054228
20240602,-139.47370879130656,1.7040353948226818,29,60,9,CaO_Alg_T0_6_3_24,6/3/24,T0,CaO_Alg,Alg,CaO,NA,NA,NA,NA,NA,12:20:00,-119.8,24.861,36.4,NA,NA,NA,NA,-97.10968484061988,8.484608949174365
20240602,-139.47370879130656,1.7040353948226818,30,7,1,Cntrl_Alg_T0_6_3_24,6/3/24,T0,Cntrl_Alg,Alg,Cntrl,NA,NA,NA,NA,NA,12:19:00,-96.9,24.607,36.4,NA,NA,NA,NA,-97.54250983090483,8.097966062245618
20240602,-139.47370879130656,1.7040353948226818,31,40,7,CaO_Cor_Tf_blank_a_6_3_24,6/3/24,Tf,CaO_Cor,Cor,CaO,blank,k_a,blank,1,414,02:35:00,-115.9,27.214,36.4,12:00:00,14:30:00,201,NA,-93.1000895566021,8.410200103269325
20240602,-139.47370879130656,1.7040353948226818,32,41,7,CaO_Cor_Tf_3_a_6_3_24,6/3/24,Tf,CaO_Cor,Cor,CaO,coral,3_a,3,7,407,02:38:00,-118,27.102,36.4,11:58:00,14:37:00,194,NA,-93.29094152082223,8.44585576779723
20240602,-139.47370879130656,1.7040353948226818,33,44,7,CaO_Cor_Tf_4_a_6_3_24,6/3/24,Tf,CaO_Cor,Cor,CaO,coral,4_a,4,13,369,02:39:00,-120,27.229,36.4,12:00:00,14:38:00,175,NA,-93.07452902567977,8.47893556789649
20240602,-139.47370879130656,1.7040353948226818,34,18,4,Cntrl_Cor_Tf_blank_b_6_3_24,6/3/24,Tf,Cntrl_Cor,Cor,Cntrl,blank,k_b,blank,2,478,02:18:00,-93.1,27.609,36.4,12:00:00,14:30:00,188,NA,-92.42699557564714,8.026705332170224
20240602,-139.47370879130656,1.7040353948226818,35,20,4,Cntrl_Cor_Tf_3_b_6_3_24,6/3/24,Tf,Cntrl_Cor,Cor,Cntrl,coral,3_b,3,8,467,02:20:00,-99.6,27.696,36.4,11:58:00,14:20:00,186,NA,-92.27874449629756,8.135386179210103
20240602,-139.47370879130656,1.7040353948226818,36,24,4,Cntrl_Cor_Tf_4_b_6_3_24,6/3/24,Tf,Cntrl_Cor,Cor,Cntrl,coral,4_b,4,14,439,02:23:00,-93.8,27.482,36.4,12:00:00,14:22:00,181,NA,-92.64340807078963,8.038741869508105
20240602,-139.47370879130656,1.7040353948226818,37,51,8,CaO_SW_Tf_4_c_6_3_24,6/3/24,Tf,CaO_SW,SW,CaO,coral,4_c,4,3,526,02:40:00,-117.6,27.114,36.4,12:00:00,14:40:00,182,CaO_test_1,-93.27049309608437,8.43909699966948
20240602,-139.47370879130656,1.7040353948226818,38,50,8,CaO_SW_Tf_blank_c_6_3_24,6/3/24,Tf,CaO_SW,SW,CaO,blank,k_c,blank,9,508,02:41:00,-115.6,27.46,36.4,12:00:00,14:30:00,201,NA,-92.68089684947572,8.404275279157398
20240602,-139.47370879130656,1.7040353948226818,39,55,9,CaO_SW_Tf_3_c_6_3_24,6/3/24,Tf,CaO_SW,SW,CaO,coral,3_c,3,15,477,02:43:00,-118.4,27.091,36.4,11:58:00,14:43:00,181,NA,-93.30968591016529,8.452611297422866
20240602,-139.47370879130656,1.7040353948226818,40,21,4,Cntrl_SW_Tf_4_d_6_3_24,6/3/24,Tf,Cntrl_SW,SW,Cntrl,coral,4_d,4,4,528,02:25:00,-106.8,27.514,36.4,12:00:00,14:24:00,184,NA,-92.58887893815529,8.25657250187649
20240602,-139.47370879130656,1.7040353948226818,41,22,4,Cntrl_SW_Tf_blank_d_6_3_24,6/3/24,Tf,Cntrl_SW,SW,Cntrl,blank,k_d,blank,10,515,02:26:00,-93.3,27.588,36.4,12:00:00,14:30:00,201,NA,-92.46278031893841,8.030106889085895
20240602,-139.47370879130656,1.7040353948226818,42,4,1,Cntrl_SW_Tf_3_d_6_3_24,6/3/24,Tf,Cntrl_SW,SW,Cntrl,coral,3_d,3,16,479,02:28:00,-99.1,27.454,36.4,11:58:00,14:27:00,199,NA,-92.69112106184465,8.127666486329623
20240602,-139.47370879130656,1.7040353948226818,43,43,7,CaO_Alg_Tf_3_e_6_3_24,6/3/24,Tf,CaO_Alg,Alg,CaO,coral,3_e,3,5,484,02:45:00,-119.5,27.215,36.4,11:58:00,14:44:00,181,NA,-93.09838552120728,8.470600250985598
20240602,-139.47370879130656,1.7040353948226818,44,48,8,CaO_Alg_Tf_4_e_6_3_24,6/3/24,Tf,CaO_Alg,Alg,CaO,coral,4_e,4,11,482,02:47:00,-120.2,27.319,36.4,12:00:00,14:46:00,191,NA,-92.92116584014572,8.48194223740017
20240602,-139.47370879130656,1.7040353948226818,45,52,8,CaO_Alg_Tf_blank_e_6_3_24,6/3/24,Tf,CaO_Alg,Alg,CaO,blank,k_e,blank,17,438,02:48:00,-117.4,27.449,36.4,12:00:00,14:30:00,193,NA,-92.69964123881877,8.43449355673905
20240602,-139.47370879130656,1.7040353948226818,46,19,4,Cntrl_Alg_Tf_3_f_6_3_24,6/3/24,Tf,Cntrl_Alg,Alg,Cntrl,coral,3_f,3,6,428,02:31:00,-104,27.366,36.4,11:58:00,14:30:00,188,NA,-92.84107617658906,8.210079457267307
20240602,-139.47370879130656,1.7040353948226818,47,17,4,Cntrl_Alg_Tf_4_f_6_3_24,6/3/24,Tf,Cntrl_Alg,Alg,Cntrl,coral,4_f,4,12,425,02:32:00,-104.4,27.107,36.4,12:00:00,14:32:00,189,NA,-93.28242134384813,8.217562881003865
20240602,-139.47370879130656,1.7040353948226818,48,23,4,Cntrl_Alg_Tf_blank_f_6_3_24,6/3/24,Tf,Cntrl_Alg,Alg,Cntrl,blank,k_f,blank,18,382,02:34:00,-94.6,27.288,36.4,12:00:00,14:30:00,198,NA,-92.97399093738522,8.05262881977041
20240602,-139.47370879130656,1.7040353948226818,49,35,6,Cntrl_Alg_T0_6_4_24,6/4/24,T0,Cntrl_Alg,Alg,Cntrl,NA,NA,NA,NA,NA,12:13:00,-97.2,24.81,36.4,NA,NA,NA,NA,-97.19659064575583,8.102539139641609
20240602,-139.47370879130656,1.7040353948226818,50,28,5,Cntrl_Cor_T0_6_4_24,6/4/24,T0,Cntrl_Cor,Cor,Cntrl,NA,NA,NA,NA,NA,12:14:00,-96.1,24.872,36.4,NA,NA,NA,NA,-97.09094045127682,8.08378286924027
20240602,-139.47370879130656,1.7040353948226818,51,31,5,Cntrl_SW_T0_6_4_24,6/4/24,T0,Cntrl_SW,SW,Cntrl,NA,NA,NA,NA,NA,12:15:00,-94.4,25.029,36.4,NA,NA,NA,rerun (31_rerun),-96.82340689428966,8.054667739646115
20240602,-139.47370879130656,1.7040353948226818,52,65,10,CaO_Alg_T0_6_4_24,6/4/24,T0,CaO_Alg,Alg,CaO,NA,NA,NA,NA,NA,12:16:00,-116,24.921,36.4,NA,NA,NA,NA,-97.00744271693051,8.420132172171995
20240602,-139.47370879130656,1.7040353948226818,53,72,11,CaO_Cor_T0_6_4_24,6/4/24,T0,CaO_Cor,Cor,CaO,NA,NA,NA,NA,NA,12:18:00,-119.3,25.043,36.4,NA,NA,NA,NA,-96.79955039876214,8.475470955328548
20240602,-139.47370879130656,1.7040353948226818,54,64,10,CaO_SW_T0_6_4_24,6/4/24,T0,CaO_SW,SW,CaO,NA,NA,NA,NA,NA,12:19:00,-115.9,25.008,36.4,NA,NA,NA,NA,-96.85919163758093,8.418131956704654
20240602,-139.47370879130656,1.7040353948226818,55,26,5,Cntrl_Alg_Tf_5_a_6_4_24,6/4/24,Tf,Cntrl_Alg,Alg,Cntrl,coral,5_a,5,1,414,02:17:00,-108.4,27.856,36.4,11:57:00,14:16:00,182,NA,-92.00609883312593,8.28228564649508
20240602,-139.47370879130656,1.7040353948226818,56,33,6,Cntrl_Alg_Tf_6_a_6_4_24,6/4/24,Tf,Cntrl_Alg,Alg,Cntrl,coral,6_a,6,7,407,02:19:00,-102,27.955,36.4,11:59:00,14:18:00,184,NA,-91.8373993290385,8.174843923777855
20240602,-139.47370879130656,1.7040353948226818,57,29,5,Cntrl_Alg_Tf_blank_a_6_4_24,6/4/24,Tf,Cntrl_Alg,Alg,Cntrl,blank,blank_a,blank,13,369,02:20:00,-94.9,27.969,36.4,12:00:00,14:20:00,185,NA,-91.81354283351098,8.055972077098426
20240602,-139.47370879130656,1.7040353948226818,58,71,11,CaO_Alg_Tf_5_b_6_4_24,6/4/24,Tf,CaO_Alg,Alg,CaO,coral,5_b,5,2,478,02:30:00,-120,27.684,36.4,11:57:00,14:30:00,193,NA,-92.29919292103543,8.477173592132731
20240602,-139.47370879130656,1.7040353948226818,59,63,10,CaO_Alg_Tf_6_b_6_4_24,6/4/24,Tf,CaO_Alg,Alg,CaO,coral,6_b,6,8,467,02:32:00,-115.9,27.672,36.4,11:59:00,14:31:00,191,NA,-92.3196413457733,8.408531469438804
20240602,-139.47370879130656,1.7040353948226818,60,70,11,CaO_Alg_Tf_blank_b_6_4_24,6/4/24,Tf,CaO_Alg,Alg,CaO,blank,blank_b,blank,14,439,02:33:00,-115.9,27.741,36.4,12:00:00,14:20:00,203,NA,-92.20206290353055,8.408279398295148
20240602,-139.47370879130656,1.7040353948226818,61,25,5,Cntrl_Cor_Tf_blank_c_6_4_24,6/4/24,Tf,Cntrl_Cor,Cor,Cntrl,blank,blank_c,blank,3,526,02:21:00,-93.7,27.775,36.4,12:00:00,14:20:00,197,NA,-92.14412570010657,8.036358308118386
20240602,-139.47370879130656,1.7040353948226818,62,36,6,Cntrl_Cor_Tf_5_c_6_4_24,6/4/24,Tf,Cntrl_Cor,Cor,Cntrl,coral,5_c,5,9,508,02:23:00,-104.3,27.81,36.4,11:57:00,14:22:00,172,NA,-92.08448446128779,8.213777529755886
20240602,-139.47370879130656,1.7040353948226818,63,34,6,Cntrl_Cor_Tf_6_c_6_4_24,6/4/24,Tf,Cntrl_Cor,Cor,Cntrl,coral,6_c,6,15,477,02:24:00,-107.2,27.787,36.4,11:59:00,14:24:00,189,"no fDOM, fDOM sample taken from extra TA that was sitting out at 22 C overnight",-92.1236772753687,8.262412903408219
20240602,-139.47370879130656,1.7040353948226818,64,62,10,CaO_Cor_Tf_blank_d_6_4_24,6/4/24,Tf,CaO_Cor,Cor,CaO,blank,blank_d,blank,4,528,02:34:00,-119.7,27.582,36.4,12:00:00,14:20:00,201,NA,-92.47300453130735,8.47254172630122
20240602,-139.47370879130656,1.7040353948226818,65,66,10,CaO_Cor_Tf_5_d_6_4_24,6/4/24,Tf,CaO_Cor,Cor,CaO,coral,5_d,5,10,515,02:36:00,-119.6,27.433,36.4,11:57:00,14:35:00,194,NA,-92.72690580513594,8.471439837742897
20240602,-139.47370879130656,1.7040353948226818,66,69,11,CaO_Cor_Tf_6_d_6_4_24,6/4/24,Tf,CaO_Cor,Cor,CaO,coral,6_d,6,16,479,02:37:00,-109,27.468,36.4,11:59:00,14:37:00,184,"looked low, redo",-92.66726456631713,8.293599191438538
20240602,-139.47370879130656,1.7040353948226818,67,27,5,Cntrl_SW_Tf_6_e_6_4_24,6/4/24,Tf,Cntrl_SW,SW,Cntrl,coral,6_e,6,5,484,02:26:00,-87.2,27.648,36.4,11:59:00,14:25:00,181,NA,-92.36053819524906,7.9277599235674625
20240602,-139.47370879130656,1.7040353948226818,68,30,5,Cntrl_SW_Tf_blank_e_6_4_24,6/4/24,Tf,Cntrl_SW,SW,Cntrl,blank,blank_e,blank,11,482,02:27:00,-87.2,27.85,36.4,12:00:00,14:20:00,199,rerun (30_rerun) weight was only 54.964,-92.01632304549487,7.927344352894562
20240602,-139.47370879130656,1.7040353948226818,69,32,5,Cntrl_SW_Tf_5_e_6_4_24,6/4/24,Tf,Cntrl_SW,SW,Cntrl,coral,5_e,5,17,438,02:29:00,-94.2,27.738,36.4,11:57:00,14:29:00,177,NA,-92.20717500971502,8.044822659102078
20240602,-139.47370879130656,1.7040353948226818,70,61,10,CaO_SW_Tf_6_f_6_4_24,6/4/24,Tf,CaO_SW,SW,CaO,coral,6_f,6,6,428,02:39:00,-112.2,27.321,36.4,11:59:00,14:38:00,196,NA,-92.91775776935607,8.347751205921156
20240602,-139.47370879130656,1.7040353948226818,71,68,10,CaO_SW_Tf_blank_f_6_4_24,6/4/24,Tf,CaO_SW,SW,CaO,blank,blank_f,blank,12,425,02:40:00,-114.5,27.551,36.4,12:00:00,14:20:00,197,NA,-92.52582962854686,8.385508960944628
20240602,-139.47370879130656,1.7040353948226818,72,67,10,CaO_SW_Tf_5_f_6_4_24,6/4/24,Tf,CaO_SW,SW,CaO,coral,5_f,5,18,382,02:42:00,-117.2,27.419,36.4,11:57:00,14:41:00,190,NA,-92.75076230066344,8.431251867323706
